,id,texts,neg,neu,pos,compound
30,1380155607836147712,"$XPEV Chinese smart electric vehicle maker, XPeng has entered into a cooperation agreement with the City of Wuhan to build a new XPeng Motors Wuhan Smart EV Manufacturing Base with the government backing.",0.0,0.736,0.264,0.8271
31,1380155485643477004,"RT @VeoliaUK: With the number of electric vehicles on our roads set to increase tenfold by 2030, recycling their batteries is an essential…",0.0,0.854,0.146,0.3818
32,1380155408225079296,"RT @simonahac: UK electric vehicle sales reach 1️⃣4️⃣% market share in march. 

if australia reaches 1️⃣% it’ll represent growth!

we are *…",0.0,0.709,0.291,0.6588
33,1380155352948342792,"RT @Nairametrics: FG set to commission first Electric-Vehicle charging station, two months after unveiling first EV https://t.co/Rgh3cEzbqt…",0.0,1.0,0.0,0.0
34,1380155169086787587,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
35,1380155096152084481,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
36,1380155084835799056,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
37,1380155071883849731,"RT @EV_Resource: “Of the 36 states covered by the report, just 6 require utilities to invest in EV charging infrastructure for lower-income…",0.0,1.0,0.0,0.0
38,1380154980347351044,"RT @Klp168: In Norway, fuel vehicle sales in March accounted for 9.5% of passenger car sales. The sales volume of pure electricity was 8,61…",0.0,1.0,0.0,0.0
39,1380154741854965760,RT @CampanaleMark: Electric Vehicle Sales Promise Shock for Big Oil.  If motor manufacturers are right about the prospects for electric veh…,0.104,0.717,0.179,0.2263
40,1380154714675904513,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
41,1380154675350093830,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
42,1380154571046141953,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
43,1380154504776146952,RT @ACEEEdc: #ICYMI: We analyzed how states and utilities are investing in #ElectricVehicle charging infrastructure – and found there needs…,0.0,1.0,0.0,0.0
44,1380154502901346310,"RT @BristolBioSci: .@BristolUni has been ranked as one of the best UK universities for sustainable transport.

Electric vehicles and cycle…",0.0,0.819,0.181,0.6369
45,1380154353361821700,"@iamfre3d0m @DeathMetalV Damn, if they could ever make an electric vehicle under 25k.",0.184,0.816,0.0,-0.4019
46,1380154337377333248,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
47,1380154317957705734,RT @scudnewsng: NITT Set To Unveil Nigeria’s First Electric Vehicle - https://t.co/FWcndH4P9B https://t.co/P1yOtTYS3Z,0.0,1.0,0.0,0.0
48,1380154308570845187,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
49,1380154288643670018,"Tesla’s Quarterly Electric Vehicle Deliveries Exceed Expectations, But The Company’s Growth Rate Has Slow. https://t.co/RpBo6LBOek",0.0,0.843,0.157,0.3818
50,1380154111719571477,Hyundai Kona Electric Now Offers the Longest Range of Any Plug-In Car Grant-Eligible Vehicle https://t.co/nenXtWCaVE,0.0,1.0,0.0,0.0
51,1380154049593540610,"Converting Colorado's public &amp; private fleets to electric power is a fine idea. But, we are rapidly losing ground on mobile source carbon emissions through relentless, endless expansion of Colorado highways &amp; freeways. Apparently, we are powerless to stop. https://t.co/DFwVV1UHHl",0.178,0.756,0.067,-0.7184
52,1380154026738737158,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
53,1380153957536952322,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
54,1380153916294369292,"RT @AASHTOsean: Shoshana Lew, @ColoradoDOT executive director, explains how state DOTs will play a critical role in rolling out #EV #infras…",0.101,0.793,0.106,0.0258
55,1380153895738089485,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
56,1380153827765129219,"Event on 29th April: @IDEALondon Accelerating Net Zero: Investing in the Electric Vehicle Ecosystem
https://t.co/q2F212XydG

E-mobility is key to achieving the UK’s Net Zero carbon emissions target by 2050. Join us in the discussion.",0.0,0.937,0.062,0.296
57,1380153793724157952,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
58,1380153771733479428,RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…,0.042,0.79,0.168,0.5682
59,1380153757699297288,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
60,1380153720084697088,Electric Vehicle Infrastructure Critical in Low-Income Areas &amp; Communities of Colors https://t.co/3Xh3B7JNrW https://t.co/bzx1Q3aNiT,0.161,0.839,0.0,-0.3182
61,1380153612777689099,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
62,1380153590895898624,RT @eStream_Studios: #Automotive #Transportation Polestar “will have to question everything” in order to build the first climate-neutral EV…,0.0,1.0,0.0,0.0
63,1380153553185075208,RT @rkempner: Texas is becoming a national manufacturing hub for pollution-free vehicles. Why does #txlege want to tax electric vehicle own…,0.0,0.936,0.064,0.0772
64,1380153501733552136,"Electric Vehicle Checkpoint: Cramer on Tesla, NIO and Plug Power | TheStreet https://t.co/HIOCSHeNdm",0.0,1.0,0.0,0.0
65,1380153362243584001,"RT @Quicktake: There are generally three types of electric vehicles, each requiring more copper than a traditional internal combustion vehi…",0.0,1.0,0.0,0.0
66,1380153322825469954,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
67,1380153101013938181,RT @Sokoto_Tracker: Nigeria launches its first solar-powered charging station in Sokoto for electric vehicle charging. The nation has an ab…,0.0,1.0,0.0,0.0
68,1380152943807193098,"As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/SuvX5yxz0o",0.0,1.0,0.0,0.0
69,1380152939512233990,RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…,0.042,0.79,0.168,0.5682
70,1380152928678318081,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
71,1380152895031640066,"As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/Vu7rOrw1hP",0.0,1.0,0.0,0.0
72,1380152790589313042,RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…,0.179,0.821,0.0,-0.5859
73,1380152782783668226,I wish there was an electric van that had a decent range in it that could be used as a base vehicle for a camper conversion.  I mean there are some that have 150-200 miles... but with a van that's all packed up etc it's going to be much lower... I think.,0.0,0.96,0.04,0.2144
74,1380152758360186880,RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…,0.042,0.79,0.168,0.5682
75,1380152692308205568,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
76,1380152652122755088,"@Electric_PC @SafariWoman that 2000 watts not 20,000 you are not charging an EV vehicle with that in any reasonable amount of time",0.0,1.0,0.0,0.0
77,1380152642215755777,"As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/kYOFKXKRZW",0.0,1.0,0.0,0.0
78,1380152602516717568,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
79,1380152581964640260,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
80,1380152427903647744,"RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews

Well advocates also say…",0.153,0.743,0.104,-0.25
81,1380152327953342470,This is very good but government should encourage Nigerians to go with electric vehicles. I really dont know how many of such are there in Nigeria or can a vehicle with petrol engine be converted to electric? https://t.co/aycpBhfQrZ,0.0,0.839,0.161,0.7612
82,1380152276824821770,"RT @VeoliaUK: With the number of electric vehicles on our roads set to increase tenfold by 2030, recycling their batteries is an essential…",0.0,0.854,0.146,0.3818
